"module_name","exercise_name","exercise_url"
"Front Delts","DB Front Delt Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454530/posts/2182541650"
"Front Delts","Front Delt Smith Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454530/posts/2182541651"
"Front Delts","Standing Barbell Overhead Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454530/posts/2189243032"
"Front Delts","DB Overhead Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454530/posts/2184150448"
"Middle Delts","1-Arm Cable Behind-The-Back Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454574/posts/2182541886"
"Middle Delts","1-Arm Cable Y Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454574/posts/2182541887"
"Middle Delts","1-Arm DB Lateral Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454574/posts/2182541889"
"Middle Delts","1-Arm DB Y-Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454574/posts/2182541890"
"Middle Delts","Dumbbell Upright Row Keep in mind there is a lot of involvement here from the traps and rotator cuff (the external rot...","https://www.modernmeathead.com/products/exercise-library/categories/2156454574/posts/2184963449"
"Middle Delts","2-Arm Cable Behind-The-Back Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454574/posts/2182541891"
"Middle Delts","Cable Upright Rows Keep in mind there is a lot of involvement here from the traps and rotator cuff (the external rot...","https://www.modernmeathead.com/products/exercise-library/categories/2156454574/posts/2184963450"
"Middle Delts","2-Arm Cable Y Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454574/posts/2182541892"
"Middle Delts","Lying Cable Y Raises","https://www.modernmeathead.com/products/exercise-library/categories/2156454574/posts/2184963451"
"Middle Delts","2-Arm DB Lateral Raiess","https://www.modernmeathead.com/products/exercise-library/categories/2156454574/posts/2182541893"
